URL,Question Text,Option Text,Option Value
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811",（いつもどおり）ふつうにしゃべれていますか？ 声は出せていますか？ ,はい,"A812,A811Q0101"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811",（いつもどおり）ふつうにしゃべれていますか？ 声は出せていますか？ ,いいえ,"20,A811Q0102"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812",ハアハアしますか（ハアハアしていますか）？ 息は苦しい（苦しそう）ですか？ ,はい,"A003151,A812Q0101"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812",ハアハアしますか（ハアハアしていますか）？ 息は苦しい（苦しそう）ですか？ ,いいえ,"A813,A812Q0102"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812,A812Q0101,A003151",当てはまる症状を選んでください。,1.急に息苦しくなりましたか？,"20,A003151Q0101"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812,A812Q0101,A003151",当てはまる症状を選んでください。,2.胸の痛みがありますか？,"A003211,A003151Q0102"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812,A812Q0101,A003151",当てはまる症状を選んでください。,3.泡状のピンク色　〔または〕　白い痰（たん）がたくさん出ますか？,"20,A003151Q0103"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812,A812Q0101,A003151",当てはまる症状を選んでください。,4.しばらく（数時間程度）その状態が続いていますか？,"20,A003151Q0104"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812,A812Q0101,A003151",当てはまる症状を選んでください。,5.以前に肺梗塞（エコノミークラス/ロングフライト症候群、深部静脈血栓症、下肢静脈血栓症など）　〔または〕　気胸　〔または〕　自然気胸　〔または〕　慢性呼吸不全と言われたことがありますか？,"20,A003151Q0105"
"https://www.fdma.go.jp/relocation/neuter/topics/filedList9_6/kyukyu_app/kyukyu_app_web/index.html?A000Q0105,A811,A811Q0101,A812,A812Q0101,A003151",当てはまる症状を選んでください。,6.喘息（ぜんそく）と言われたことがありますか？　〔または〕　喘息（ぜんそく）の薬が効かなかったことがありますか？,"A003171,A003151Q0106"
